interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age_group,vote_trump,vote_biden
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",SC,SC02,48 to 57,1,0
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$85,000 to $89,999",Associate Degree,MN,MN03,68 to 77,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$90,000 to $94,999","Completed some college, but no degree",GA,GA06,68 to 77,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,Northeast,Not Hispanic,white,"$75,000 to $79,999",Masters degree,PA,PA12,28 to 37,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",NJ,NJ09,68 to 77,0,1
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Donald Trump,Liberal,employed,The United States,Female,South,Not Hispanic,white,"$30,000 to $34,999",Associate Degree,VA,VA05,28 to 37,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999","Completed some college, but no degree",SC,SC01,68 to 77,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999",Associate Degree,TX,TX01,58 to 67,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,South,Not Hispanic,black/african american/negro,"Less than $14,999","Completed some college, but no degree",FL,FL23,18 to 27,0,1
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$15,000 to $19,999",Middle School - Grades 4 - 8,NY,NY22,38 to 47,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,West,Not Hispanic,white,"$65,000 to $69,999",Masters degree,AZ,AZ02,58 to 67,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,Midwest,Not Hispanic,white,"$45,000 to $49,999",Masters degree,IL,IL02,78 to 87,0,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$75,000 to $79,999","Completed some college, but no degree",OH,OH04,68 to 77,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,Midwest,Not Hispanic,white,"$80,000 to $84,999",Masters degree,OH,OH14,48 to 57,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,not in labor force,The United States,Male,West,Not Hispanic,white,"$40,000 to $44,999","Completed some college, but no degree",CA,CA36,68 to 77,0,1
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,unemployed,The United States,Female,South,Not Hispanic,white,"$20,000 to $24,999",Completed some high school,FL,FL06,38 to 47,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,South,Not Hispanic,black/african american/negro,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",NC,NC12,68 to 77,0,1
Some of the time,Registered,Someone else:,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$200,000 to $249,999","College Degree (such as B.A., B.S.)",TX,,28 to 37,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,South,Not Hispanic,white,"$150,000 to $174,999",Doctorate degree,FL,FL23,28 to 37,0,1
Some of the time,Registered,Hillary Clinton,Not sure,I am not sure/don't know,Liberal,unemployed,The United States,Female,Northeast,Not Hispanic,white,"$65,000 to $69,999",Other post high school vocational training,NY,NY12,48 to 57,0,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,South,Not Hispanic,white,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",TX,TX10,38 to 47,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,Northeast,Not Hispanic,white,"$80,000 to $84,999","College Degree (such as B.A., B.S.)",NJ,NJ07,38 to 47,0,1
Hardly at all,Not registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Not Sure,not in labor force,The United States,Female,South,Not Hispanic,white,"Less than $14,999",Completed some high school,AR,AR03,48 to 57,0,0
Some of the time,Not registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Very Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"Less than $14,999",Completed some high school,OK,OK02,58 to 67,0,0
Some of the time,Not registered,"Did not vote, but was eligible",Not sure,Someone else,Liberal,not in labor force,The United States,Female,West,Not Hispanic,white,"$75,000 to $79,999",Completed some high school,NV,NV04,38 to 47,0,0
Most of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,South,Not Hispanic,white,NA,"Completed some college, but no degree",FL,FL08,18 to 27,0,1
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",I am not sure/don't know,Not Sure,employed,The United States,Female,South,Not Hispanic,white,"$45,000 to $49,999","Completed some college, but no degree",FL,FL17,48 to 57,0,0
Most of the time,Registered,Jill Stein,"Yes, I will vote",Someone else,Very Liberal,employed,The United States,Female,South,Not Hispanic,other asian or pacific islander,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",TX,TX21,18 to 27,0,0
Some of the time,Not registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,West,Not Hispanic,white,"$15,000 to $19,999",Completed some high school,CA,CA36,28 to 37,0,1
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Someone else,Moderate,employed,The United States,Female,Northeast,Not Hispanic,white,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",NY,NY24,48 to 57,0,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,West,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",OR,OR02,68 to 77,1,0
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",PA,PA07,48 to 57,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,Northeast,Not Hispanic,black/african american/negro,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",PA,PA03,78 to 87,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,South,Not Hispanic,white,"$80,000 to $84,999","Completed some college, but no degree",NC,NC02,58 to 67,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$35,000 to $39,999",Other post high school vocational training,TX,TX31,38 to 47,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Moderate,employed,The United States,Female,West,Not Hispanic,white,"$40,000 to $44,999",Completed some high school,CA,,18 to 27,0,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,South,Not Hispanic,other asian or pacific islander,"$75,000 to $79,999",Masters degree,VA,VA09,28 to 37,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$95,000 to $99,999",Masters degree,OH,OH05,68 to 77,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,West,Not Hispanic,chinese,"$125,000 to $149,999","Completed some graduate, but no degree",CA,CA17,28 to 37,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,Midwest,Not Hispanic,white,"$85,000 to $89,999",Masters degree,IL,IL11,48 to 57,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999","Completed some graduate, but no degree",NC,NC03,78 to 87,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,Midwest,Not Hispanic,white,"$50,000 to $54,999",Other post high school vocational training,MI,MI07,58 to 67,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Someone else,Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$45,000 to $49,999",High school graduate,PA,,68 to 77,0,0
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,West,Not Hispanic,white,"$150,000 to $174,999",Masters degree,CA,CA40,18 to 27,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,Midwest,Not Hispanic,white,"$65,000 to $69,999","Completed some college, but no degree",MI,MI01,38 to 47,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$30,000 to $34,999",Completed some high school,CT,CT01,38 to 47,0,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,South,Not Hispanic,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",NC,NC02,58 to 67,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,NA,"Completed some college, but no degree",DE,DE00,68 to 77,1,0
Some of the time,Registered,Jill Stein,"Yes, I will vote",I am not sure/don't know,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$30,000 to $34,999",Associate Degree,WI,WI08,68 to 77,0,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Conservative,employed,The United States,Male,South,Not Hispanic,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",FL,FL06,38 to 47,0,0
Hardly at all,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$45,000 to $49,999",Associate Degree,CT,CT01,68 to 77,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$40,000 to $44,999",Masters degree,NC,NC09,38 to 47,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,West,Not Hispanic,white,"$30,000 to $34,999",Associate Degree,OR,OR05,68 to 77,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$100,000 to $124,999",Masters degree,IL,IL15,58 to 67,1,0
Some of the time,Registered,Hillary Clinton,"No, I will not vote but I am eligible",Joe Biden,Liberal,unemployed,The United States,Female,Northeast,Mexican,white,"Less than $14,999",Other post high school vocational training,NJ,NJ09,18 to 27,0,1
Some of the time,Registered,Gary Johnson,"Yes, I will vote",I am not sure/don't know,Moderate,not in labor force,The United States,Female,South,Not Hispanic,white,"$45,000 to $49,999","Completed some college, but no degree",TX,TX22,68 to 77,0,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,West,Not Hispanic,white,"$30,000 to $34,999",Masters degree,CA,CA24,48 to 57,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,unemployed,The United States,Female,South,Not Hispanic,white,NA,Associate Degree,NC,NC12,68 to 77,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,South,Not Hispanic,white,"$150,000 to $174,999",Masters degree,FL,FL02,68 to 77,0,1
Some of the time,Registered,Someone else:,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,Midwest,Not Hispanic,white,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",IA,IA01,48 to 57,0,1
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999",Masters degree,GA,GA10,48 to 57,1,0
Some of the time,Registered,Gary Johnson,"Yes, I will vote",Someone else,Moderate,employed,The United States,Male,Midwest,Not Hispanic,white,"$95,000 to $99,999",Masters degree,IL,IL05,38 to 47,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$75,000 to $79,999",Masters degree,NY,NY21,58 to 67,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,Another country,Female,West,Not Hispanic,white,"$25,000 to $29,999",Associate Degree,WA,WA05,58 to 67,0,1
Only now and then,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$60,000 to $64,999","Completed some college, but no degree",MI,MI01,38 to 47,0,1
Some of the time,Registered,Gary Johnson,"Yes, I will vote",I am not sure/don't know,Moderate,not in labor force,The United States,Female,South,Not Hispanic,white,"$60,000 to $64,999",High school graduate,SC,SC02,68 to 77,0,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$55,000 to $59,999",Other post high school vocational training,OH,OH05,38 to 47,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,unemployed,The United States,Female,Midwest,Not Hispanic,white,"$45,000 to $49,999",High school graduate,IL,IL16,28 to 37,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$90,000 to $94,999",High school graduate,MA,MA08,58 to 67,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,Another country,Female,Midwest,Not Hispanic,chinese,"$80,000 to $84,999",Masters degree,MO,MO03,38 to 47,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,West,Not Hispanic,white,"$60,000 to $64,999",Masters degree,CO,CO05,48 to 57,0,1
Some of the time,Not registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$45,000 to $49,999","Completed some college, but no degree",IL,IL15,48 to 57,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Someone else,Not Sure,employed,The United States,Female,South,Not Hispanic,white,"$25,000 to $29,999",Other post high school vocational training,NC,NC13,58 to 67,0,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,South,Not Hispanic,white,"$90,000 to $94,999","College Degree (such as B.A., B.S.)",NC,NC05,58 to 67,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$70,000 to $74,999",Masters degree,NY,NY13,68 to 77,0,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,Midwest,Not Hispanic,white,"$60,000 to $64,999",High school graduate,IN,IN04,58 to 67,1,0
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,West,Not Hispanic,chinese,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",CA,CA33,28 to 37,0,1
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Donald Trump,Conservative,unemployed,The United States,Female,South,Not Hispanic,white,"$250,000 and above","Completed some college, but no degree",FL,FL01,18 to 27,1,0
Only now and then,Not registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Moderate,not in labor force,The United States,Female,South,Not Hispanic,white,"$40,000 to $44,999",High school graduate,FL,FL02,18 to 27,0,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$65,000 to $69,999","Completed some college, but no degree",PA,PA07,68 to 77,1,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$25,000 to $29,999",Other post high school vocational training,SC,SC07,38 to 47,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,Midwest,Not Hispanic,white,"$100,000 to $124,999",Masters degree,IL,IL09,48 to 57,1,0
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",I am not sure/don't know,Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,black/african american/negro,NA,"Completed some college, but no degree",PA,PA02,18 to 27,0,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$15,000 to $19,999","Completed some college, but no degree",OH,OH14,58 to 67,0,1
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$90,000 to $94,999",Masters degree,NY,NY07,48 to 57,1,0
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$65,000 to $69,999","Completed some college, but no degree",IA,IA02,58 to 67,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,Midwest,Not Hispanic,white,"$125,000 to $149,999",Masters degree,WI,WI05,48 to 57,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Very Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",CT,CT02,18 to 27,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,Northeast,Not Hispanic,white,"$30,000 to $34,999",High school graduate,PA,PA09,58 to 67,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,Northeast,Not Hispanic,white,"$100,000 to $124,999","Completed some graduate, but no degree",NJ,NJ03,68 to 77,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,South,Not Hispanic,white,"$60,000 to $64,999",Masters degree,DC,DC00,28 to 37,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,Northeast,Not Hispanic,white,"$100,000 to $124,999",Masters degree,PA,PA01,68 to 77,0,1
Only now and then,Registered,"Did not vote, but was eligible",Not sure,Donald Trump,Conservative,unemployed,The United States,Male,South,Not Hispanic,white,"$45,000 to $49,999",Associate Degree,GA,GA08,18 to 27,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,Northeast,Not Hispanic,white,"$150,000 to $174,999",Masters degree,NY,NY09,38 to 47,0,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$150,000 to $174,999",Masters degree,FL,FL15,38 to 47,1,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,unemployed,Another country,Male,South,Not Hispanic,black/african american/negro,"Less than $14,999",Completed some high school,FL,,18 to 27,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,unemployed,Another country,Male,Northeast,Not Hispanic,chinese,"Less than $14,999","Completed some college, but no degree",NY,NY10,38 to 47,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$30,000 to $34,999",Associate Degree,GA,GA01,48 to 57,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,Midwest,Not Hispanic,white,"$90,000 to $94,999","Completed some college, but no degree",IL,IL01,48 to 57,1,0
Some of the time,Registered,Someone else:,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,West,Not Hispanic,white,"$55,000 to $59,999","Completed some college, but no degree",NM,NM02,68 to 77,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,not in labor force,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",TN,TN09,48 to 57,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,not in labor force,Another country,Female,West,Not Hispanic,chinese,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",CA,CA32,38 to 47,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",NC,NC04,28 to 37,1,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$40,000 to $44,999","Completed some college, but no degree",VA,,58 to 67,1,0
Most of the time,Registered,Don't recall,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",MN,MN02,28 to 37,1,0
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Midwest,Not Hispanic,white,"$25,000 to $29,999",Associate Degree,WI,WI02,68 to 77,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Moderate,unemployed,The United States,Male,West,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",AZ,AZ07,28 to 37,0,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$100,000 to $124,999",Masters degree,PA,PA06,28 to 37,0,1
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$30,000 to $34,999","Completed some college, but no degree",OK,OK05,18 to 27,0,1
