gender,household_income,employment,age_group,race_ethnicity,education,n
Female,"$100,000 to $124,999",employed,38 to 47,american indian or alaska native,"Completed some college, but no degree",4
Female,"$100,000 to $124,999",employed,38 to 47,american indian or alaska native,Doctorate degree,1
Female,"$100,000 to $124,999",employed,38 to 47,american indian or alaska native,High school graduate,4
Female,"$100,000 to $124,999",employed,38 to 47,american indian or alaska native,Masters degree,15
Female,"$100,000 to $124,999",employed,38 to 47,american indian or alaska native,Other post high school vocational training,1
Female,"$100,000 to $124,999",employed,38 to 47,black/african american/negro,3rd Grade or less,1
Female,"$100,000 to $124,999",employed,38 to 47,black/african american/negro,Associate Degree,32
Female,"$100,000 to $124,999",employed,38 to 47,black/african american/negro,"College Degree (such as B.A., B.S.)",174
Female,"$100,000 to $124,999",employed,38 to 47,black/african american/negro,"Completed some college, but no degree",41
Female,"$100,000 to $124,999",employed,38 to 47,black/african american/negro,Completed some high school,3
Female,"$100,000 to $124,999",employed,38 to 47,black/african american/negro,Doctorate degree,33
Female,"$100,000 to $124,999",employed,38 to 47,black/african american/negro,High school graduate,28
Female,"$100,000 to $124,999",employed,38 to 47,black/african american/negro,Masters degree,231
Female,"$100,000 to $124,999",employed,38 to 47,black/african american/negro,Middle School - Grades 4 - 8,2
Female,"$100,000 to $124,999",employed,38 to 47,black/african american/negro,Other post high school vocational training,4
Female,"$100,000 to $124,999",employed,38 to 47,chinese,3rd Grade or less,2
Female,"$100,000 to $124,999",employed,38 to 47,chinese,Associate Degree,7
Female,"$100,000 to $124,999",employed,38 to 47,chinese,"College Degree (such as B.A., B.S.)",92
Female,"$100,000 to $124,999",employed,38 to 47,chinese,"Completed some college, but no degree",3
Female,"$100,000 to $124,999",employed,38 to 47,chinese,Completed some high school,2
Female,"$100,000 to $124,999",employed,38 to 47,chinese,Doctorate degree,44
Female,"$100,000 to $124,999",employed,38 to 47,chinese,High school graduate,4
Female,"$100,000 to $124,999",employed,38 to 47,chinese,Masters degree,120
Female,"$100,000 to $124,999",employed,38 to 47,chinese,Middle School - Grades 4 - 8,1
Female,"$100,000 to $124,999",employed,38 to 47,japanese,Associate Degree,1
Female,"$100,000 to $124,999",employed,38 to 47,japanese,"College Degree (such as B.A., B.S.)",16
Female,"$100,000 to $124,999",employed,38 to 47,japanese,Doctorate degree,4
Female,"$100,000 to $124,999",employed,38 to 47,japanese,High school graduate,1
Female,"$100,000 to $124,999",employed,38 to 47,japanese,Masters degree,10
Female,"$100,000 to $124,999",employed,38 to 47,other asian or pacific islander,3rd Grade or less,1
Female,"$100,000 to $124,999",employed,38 to 47,other asian or pacific islander,Associate Degree,24
Female,"$100,000 to $124,999",employed,38 to 47,other asian or pacific islander,"College Degree (such as B.A., B.S.)",347
Female,"$100,000 to $124,999",employed,38 to 47,other asian or pacific islander,"Completed some college, but no degree",13
Female,"$100,000 to $124,999",employed,38 to 47,other asian or pacific islander,Completed some high school,3
Female,"$100,000 to $124,999",employed,38 to 47,other asian or pacific islander,Doctorate degree,49
Female,"$100,000 to $124,999",employed,38 to 47,other asian or pacific islander,High school graduate,10
Female,"$100,000 to $124,999",employed,38 to 47,other asian or pacific islander,Masters degree,362
Female,"$100,000 to $124,999",employed,38 to 47,other asian or pacific islander,Middle School - Grades 4 - 8,1
Female,"$100,000 to $124,999",employed,38 to 47,other asian or pacific islander,Other post high school vocational training,4
Female,"$100,000 to $124,999",employed,38 to 47,"other race, nec",3rd Grade or less,1
Female,"$100,000 to $124,999",employed,38 to 47,"other race, nec",Associate Degree,22
Female,"$100,000 to $124,999",employed,38 to 47,"other race, nec","College Degree (such as B.A., B.S.)",98
Female,"$100,000 to $124,999",employed,38 to 47,"other race, nec","Completed some college, but no degree",18
Female,"$100,000 to $124,999",employed,38 to 47,"other race, nec",Completed some high school,4
Female,"$100,000 to $124,999",employed,38 to 47,"other race, nec",Doctorate degree,23
Female,"$100,000 to $124,999",employed,38 to 47,"other race, nec",High school graduate,10
Female,"$100,000 to $124,999",employed,38 to 47,"other race, nec",Masters degree,113
Female,"$100,000 to $124,999",employed,38 to 47,"other race, nec",Middle School - Grades 4 - 8,1
Female,"$100,000 to $124,999",employed,38 to 47,"other race, nec",Other post high school vocational training,3
Female,"$100,000 to $124,999",employed,38 to 47,white,3rd Grade or less,7
Female,"$100,000 to $124,999",employed,38 to 47,white,Associate Degree,279
Female,"$100,000 to $124,999",employed,38 to 47,white,"College Degree (such as B.A., B.S.)",2027
Female,"$100,000 to $124,999",employed,38 to 47,white,"Completed some college, but no degree",357
Female,"$100,000 to $124,999",employed,38 to 47,white,Completed some high school,7
Female,"$100,000 to $124,999",employed,38 to 47,white,Doctorate degree,346
Female,"$100,000 to $124,999",employed,38 to 47,white,High school graduate,143
Female,"$100,000 to $124,999",employed,38 to 47,white,Masters degree,2056
Female,"$100,000 to $124,999",employed,38 to 47,white,Middle School - Grades 4 - 8,5
Female,"$100,000 to $124,999",employed,38 to 47,white,Other post high school vocational training,31
Female,"$100,000 to $124,999",employed,48 to 57,american indian or alaska native,Associate Degree,4
Female,"$100,000 to $124,999",employed,48 to 57,american indian or alaska native,"College Degree (such as B.A., B.S.)",8
Female,"$100,000 to $124,999",employed,48 to 57,american indian or alaska native,"Completed some college, but no degree",5
Female,"$100,000 to $124,999",employed,48 to 57,american indian or alaska native,Completed some high school,2
Female,"$100,000 to $124,999",employed,48 to 57,american indian or alaska native,High school graduate,4
Female,"$100,000 to $124,999",employed,48 to 57,american indian or alaska native,Masters degree,10
Female,"$100,000 to $124,999",employed,48 to 57,american indian or alaska native,Other post high school vocational training,1
Female,"$100,000 to $124,999",employed,48 to 57,black/african american/negro,3rd Grade or less,3
Female,"$100,000 to $124,999",employed,48 to 57,black/african american/negro,Associate Degree,43
Female,"$100,000 to $124,999",employed,48 to 57,black/african american/negro,"College Degree (such as B.A., B.S.)",187
Female,"$100,000 to $124,999",employed,48 to 57,black/african american/negro,"Completed some college, but no degree",68
Female,"$100,000 to $124,999",employed,48 to 57,black/african american/negro,Completed some high school,7
Female,"$100,000 to $124,999",employed,48 to 57,black/african american/negro,Doctorate degree,26
Female,"$100,000 to $124,999",employed,48 to 57,black/african american/negro,High school graduate,37
Female,"$100,000 to $124,999",employed,48 to 57,black/african american/negro,Masters degree,230
Female,"$100,000 to $124,999",employed,48 to 57,black/african american/negro,Middle School - Grades 4 - 8,1
Female,"$100,000 to $124,999",employed,48 to 57,black/african american/negro,Other post high school vocational training,7
Female,"$100,000 to $124,999",employed,48 to 57,chinese,3rd Grade or less,1
Female,"$100,000 to $124,999",employed,48 to 57,chinese,Associate Degree,12
Female,"$100,000 to $124,999",employed,48 to 57,chinese,"College Degree (such as B.A., B.S.)",71
Female,"$100,000 to $124,999",employed,48 to 57,chinese,"Completed some college, but no degree",3
Female,"$100,000 to $124,999",employed,48 to 57,chinese,Doctorate degree,23
Female,"$100,000 to $124,999",employed,48 to 57,chinese,High school graduate,8
Female,"$100,000 to $124,999",employed,48 to 57,chinese,Masters degree,125
Female,"$100,000 to $124,999",employed,48 to 57,japanese,Associate Degree,3
Female,"$100,000 to $124,999",employed,48 to 57,japanese,"College Degree (such as B.A., B.S.)",27
Female,"$100,000 to $124,999",employed,48 to 57,japanese,"Completed some college, but no degree",2
Female,"$100,000 to $124,999",employed,48 to 57,japanese,Doctorate degree,3
Female,"$100,000 to $124,999",employed,48 to 57,japanese,Masters degree,12
Female,"$100,000 to $124,999",employed,48 to 57,other asian or pacific islander,3rd Grade or less,1
Female,"$100,000 to $124,999",employed,48 to 57,other asian or pacific islander,Associate Degree,19
Female,"$100,000 to $124,999",employed,48 to 57,other asian or pacific islander,"College Degree (such as B.A., B.S.)",222
Female,"$100,000 to $124,999",employed,48 to 57,other asian or pacific islander,"Completed some college, but no degree",27
Female,"$100,000 to $124,999",employed,48 to 57,other asian or pacific islander,Completed some high school,3
Female,"$100,000 to $124,999",employed,48 to 57,other asian or pacific islander,Doctorate degree,25
Female,"$100,000 to $124,999",employed,48 to 57,other asian or pacific islander,High school graduate,12
Female,"$100,000 to $124,999",employed,48 to 57,other asian or pacific islander,Masters degree,138
Female,"$100,000 to $124,999",employed,48 to 57,other asian or pacific islander,Middle School - Grades 4 - 8,1
Female,"$100,000 to $124,999",employed,48 to 57,other asian or pacific islander,Other post high school vocational training,4
Female,"$100,000 to $124,999",employed,48 to 57,"other race, nec",3rd Grade or less,2
Female,"$100,000 to $124,999",employed,48 to 57,"other race, nec",Associate Degree,19
Female,"$100,000 to $124,999",employed,48 to 57,"other race, nec","College Degree (such as B.A., B.S.)",77
Female,"$100,000 to $124,999",employed,48 to 57,"other race, nec","Completed some college, but no degree",35
Female,"$100,000 to $124,999",employed,48 to 57,"other race, nec",Doctorate degree,9
Female,"$100,000 to $124,999",employed,48 to 57,"other race, nec",High school graduate,15
Female,"$100,000 to $124,999",employed,48 to 57,"other race, nec",Masters degree,87
Female,"$100,000 to $124,999",employed,48 to 57,"other race, nec",Middle School - Grades 4 - 8,2
Female,"$100,000 to $124,999",employed,48 to 57,"other race, nec",Other post high school vocational training,2
Female,"$100,000 to $124,999",employed,48 to 57,white,3rd Grade or less,8
Female,"$100,000 to $124,999",employed,48 to 57,white,Associate Degree,556
Female,"$100,000 to $124,999",employed,48 to 57,white,"College Degree (such as B.A., B.S.)",2476
Female,"$100,000 to $124,999",employed,48 to 57,white,"Completed some college, but no degree",744
Female,"$100,000 to $124,999",employed,48 to 57,white,Completed some high school,8
Female,"$100,000 to $124,999",employed,48 to 57,white,Doctorate degree,278
Female,"$100,000 to $124,999",employed,48 to 57,white,High school graduate,344
Female,"$100,000 to $124,999",employed,48 to 57,white,Masters degree,1989
Female,"$100,000 to $124,999",employed,48 to 57,white,Middle School - Grades 4 - 8,5
Female,"$100,000 to $124,999",employed,48 to 57,white,Other post high school vocational training,39
Female,"$100,000 to $124,999",employed,58 to 67,american indian or alaska native,Associate Degree,2
Female,"$100,000 to $124,999",employed,58 to 67,american indian or alaska native,"College Degree (such as B.A., B.S.)",6
Female,"$100,000 to $124,999",employed,58 to 67,american indian or alaska native,"Completed some college, but no degree",8
Female,"$100,000 to $124,999",employed,58 to 67,american indian or alaska native,Doctorate degree,2
Female,"$100,000 to $124,999",employed,58 to 67,american indian or alaska native,High school graduate,3
Female,"$100,000 to $124,999",employed,58 to 67,american indian or alaska native,Masters degree,7
Female,"$100,000 to $124,999",employed,58 to 67,black/african american/negro,3rd Grade or less,2
Female,"$100,000 to $124,999",employed,58 to 67,black/african american/negro,Associate Degree,30
Female,"$100,000 to $124,999",employed,58 to 67,black/african american/negro,"College Degree (such as B.A., B.S.)",124
Female,"$100,000 to $124,999",employed,58 to 67,black/african american/negro,"Completed some college, but no degree",68
Female,"$100,000 to $124,999",employed,58 to 67,black/african american/negro,Completed some high school,3
Female,"$100,000 to $124,999",employed,58 to 67,black/african american/negro,Doctorate degree,25
Female,"$100,000 to $124,999",employed,58 to 67,black/african american/negro,High school graduate,27
Female,"$100,000 to $124,999",employed,58 to 67,black/african american/negro,Masters degree,141
Female,"$100,000 to $124,999",employed,58 to 67,black/african american/negro,Other post high school vocational training,11
Female,"$100,000 to $124,999",employed,58 to 67,chinese,Associate Degree,7
Female,"$100,000 to $124,999",employed,58 to 67,chinese,"College Degree (such as B.A., B.S.)",49
Female,"$100,000 to $124,999",employed,58 to 67,chinese,"Completed some college, but no degree",7
Female,"$100,000 to $124,999",employed,58 to 67,chinese,Doctorate degree,7
Female,"$100,000 to $124,999",employed,58 to 67,chinese,High school graduate,5
Female,"$100,000 to $124,999",employed,58 to 67,chinese,Masters degree,41
Female,"$100,000 to $124,999",employed,58 to 67,chinese,Other post high school vocational training,1
Female,"$100,000 to $124,999",employed,58 to 67,japanese,Associate Degree,6
Female,"$100,000 to $124,999",employed,58 to 67,japanese,"College Degree (such as B.A., B.S.)",13
Female,"$100,000 to $124,999",employed,58 to 67,japanese,"Completed some college, but no degree",3
Female,"$100,000 to $124,999",employed,58 to 67,japanese,Doctorate degree,2
Female,"$100,000 to $124,999",employed,58 to 67,japanese,High school graduate,2
Female,"$100,000 to $124,999",employed,58 to 67,japanese,Masters degree,8
Female,"$100,000 to $124,999",employed,58 to 67,other asian or pacific islander,3rd Grade or less,1
Female,"$100,000 to $124,999",employed,58 to 67,other asian or pacific islander,Associate Degree,16
Female,"$100,000 to $124,999",employed,58 to 67,other asian or pacific islander,"College Degree (such as B.A., B.S.)",148
Female,"$100,000 to $124,999",employed,58 to 67,other asian or pacific islander,"Completed some college, but no degree",15
Female,"$100,000 to $124,999",employed,58 to 67,other asian or pacific islander,Completed some high school,2
Female,"$100,000 to $124,999",employed,58 to 67,other asian or pacific islander,Doctorate degree,8
Female,"$100,000 to $124,999",employed,58 to 67,other asian or pacific islander,High school graduate,13
Female,"$100,000 to $124,999",employed,58 to 67,other asian or pacific islander,Masters degree,60
Female,"$100,000 to $124,999",employed,58 to 67,other asian or pacific islander,Other post high school vocational training,1
Female,"$100,000 to $124,999",employed,58 to 67,"other race, nec",3rd Grade or less,3
Female,"$100,000 to $124,999",employed,58 to 67,"other race, nec",Associate Degree,12
Female,"$100,000 to $124,999",employed,58 to 67,"other race, nec","College Degree (such as B.A., B.S.)",31
Female,"$100,000 to $124,999",employed,58 to 67,"other race, nec","Completed some college, but no degree",11
Female,"$100,000 to $124,999",employed,58 to 67,"other race, nec",Doctorate degree,5
Female,"$100,000 to $124,999",employed,58 to 67,"other race, nec",High school graduate,12
Female,"$100,000 to $124,999",employed,58 to 67,"other race, nec",Masters degree,34
Female,"$100,000 to $124,999",employed,58 to 67,"other race, nec",Other post high school vocational training,2
Female,"$100,000 to $124,999",employed,58 to 67,white,3rd Grade or less,6
Female,"$100,000 to $124,999",employed,58 to 67,white,Associate Degree,505
Female,"$100,000 to $124,999",employed,58 to 67,white,"College Degree (such as B.A., B.S.)",1638
Female,"$100,000 to $124,999",employed,58 to 67,white,"Completed some college, but no degree",753
Female,"$100,000 to $124,999",employed,58 to 67,white,Completed some high school,16
Female,"$100,000 to $124,999",employed,58 to 67,white,Doctorate degree,306
Female,"$100,000 to $124,999",employed,58 to 67,white,High school graduate,301
Female,"$100,000 to $124,999",employed,58 to 67,white,Masters degree,1608
Female,"$100,000 to $124,999",employed,58 to 67,white,Middle School - Grades 4 - 8,4
Female,"$100,000 to $124,999",employed,58 to 67,white,Other post high school vocational training,31
Female,"$100,000 to $124,999",employed,68 to 77,american indian or alaska native,"Completed some college, but no degree",1
Female,"$100,000 to $124,999",employed,68 to 77,american indian or alaska native,High school graduate,3
Female,"$100,000 to $124,999",employed,68 to 77,american indian or alaska native,Masters degree,2
Female,"$100,000 to $124,999",employed,68 to 77,black/african american/negro,3rd Grade or less,2
Female,"$100,000 to $124,999",employed,68 to 77,black/african american/negro,Associate Degree,14
Female,"$100,000 to $124,999",employed,68 to 77,black/african american/negro,"College Degree (such as B.A., B.S.)",23
Female,"$100,000 to $124,999",employed,68 to 77,black/african american/negro,"Completed some college, but no degree",17
Female,"$100,000 to $124,999",employed,68 to 77,black/african american/negro,Doctorate degree,4
Female,"$100,000 to $124,999",employed,68 to 77,black/african american/negro,High school graduate,16
Female,"$100,000 to $124,999",employed,68 to 77,black/african american/negro,Masters degree,34
Female,"$100,000 to $124,999",employed,68 to 77,black/african american/negro,Middle School - Grades 4 - 8,1
Female,"$100,000 to $124,999",employed,68 to 77,black/african american/negro,Other post high school vocational training,1
Female,"$100,000 to $124,999",employed,68 to 77,chinese,"College Degree (such as B.A., B.S.)",5
Female,"$100,000 to $124,999",employed,68 to 77,chinese,"Completed some college, but no degree",2
Female,"$100,000 to $124,999",employed,68 to 77,chinese,High school graduate,1
Female,"$100,000 to $124,999",employed,68 to 77,chinese,Masters degree,8
Female,"$100,000 to $124,999",employed,68 to 77,japanese,Associate Degree,2
Female,"$100,000 to $124,999",employed,68 to 77,japanese,"College Degree (such as B.A., B.S.)",2
Female,"$100,000 to $124,999",employed,68 to 77,japanese,"Completed some college, but no degree",2
Female,"$100,000 to $124,999",employed,68 to 77,japanese,Masters degree,1
Female,"$100,000 to $124,999",employed,68 to 77,other asian or pacific islander,3rd Grade or less,3
Female,"$100,000 to $124,999",employed,68 to 77,other asian or pacific islander,Associate Degree,3
Female,"$100,000 to $124,999",employed,68 to 77,other asian or pacific islander,"College Degree (such as B.A., B.S.)",24
Female,"$100,000 to $124,999",employed,68 to 77,other asian or pacific islander,"Completed some college, but no degree",6
Female,"$100,000 to $124,999",employed,68 to 77,other asian or pacific islander,Completed some high school,1
Female,"$100,000 to $124,999",employed,68 to 77,other asian or pacific islander,Doctorate degree,5
Female,"$100,000 to $124,999",employed,68 to 77,other asian or pacific islander,High school graduate,5
Female,"$100,000 to $124,999",employed,68 to 77,other asian or pacific islander,Masters degree,13
Female,"$100,000 to $124,999",employed,68 to 77,"other race, nec",3rd Grade or less,1
Female,"$100,000 to $124,999",employed,68 to 77,"other race, nec","College Degree (such as B.A., B.S.)",6
Female,"$100,000 to $124,999",employed,68 to 77,"other race, nec","Completed some college, but no degree",4
Female,"$100,000 to $124,999",employed,68 to 77,"other race, nec",Doctorate degree,1
Female,"$100,000 to $124,999",employed,68 to 77,"other race, nec",High school graduate,4
Female,"$100,000 to $124,999",employed,68 to 77,"other race, nec",Masters degree,4
Female,"$100,000 to $124,999",employed,68 to 77,white,3rd Grade or less,3
Female,"$100,000 to $124,999",employed,68 to 77,white,Associate Degree,110
Female,"$100,000 to $124,999",employed,68 to 77,white,"College Degree (such as B.A., B.S.)",258
Female,"$100,000 to $124,999",employed,68 to 77,white,"Completed some college, but no degree",204
Female,"$100,000 to $124,999",employed,68 to 77,white,Completed some high school,6
Female,"$100,000 to $124,999",employed,68 to 77,white,Doctorate degree,89
Female,"$100,000 to $124,999",employed,68 to 77,white,High school graduate,146
Female,"$100,000 to $124,999",employed,68 to 77,white,Masters degree,368
Female,"$100,000 to $124,999",employed,68 to 77,white,Middle School - Grades 4 - 8,3
Female,"$100,000 to $124,999",employed,68 to 77,white,Other post high school vocational training,10
Female,"$100,000 to $124,999",employed,78 to 87,black/african american/negro,Associate Degree,1
Female,"$100,000 to $124,999",employed,78 to 87,black/african american/negro,"College Degree (such as B.A., B.S.)",1
Female,"$100,000 to $124,999",employed,78 to 87,black/african american/negro,"Completed some college, but no degree",1
Female,"$100,000 to $124,999",employed,78 to 87,black/african american/negro,Doctorate degree,1
Female,"$100,000 to $124,999",employed,78 to 87,black/african american/negro,High school graduate,4
Female,"$100,000 to $124,999",employed,78 to 87,black/african american/negro,Masters degree,2
Female,"$100,000 to $124,999",employed,78 to 87,black/african american/negro,Other post high school vocational training,1
Female,"$100,000 to $124,999",employed,78 to 87,japanese,Associate Degree,1
Female,"$100,000 to $124,999",employed,78 to 87,other asian or pacific islander,"College Degree (such as B.A., B.S.)",1
Female,"$100,000 to $124,999",employed,78 to 87,other asian or pacific islander,Masters degree,2
Female,"$100,000 to $124,999",employed,78 to 87,"other race, nec","Completed some college, but no degree",1
Female,"$100,000 to $124,999",employed,78 to 87,white,Associate Degree,8
Female,"$100,000 to $124,999",employed,78 to 87,white,"College Degree (such as B.A., B.S.)",33
Female,"$100,000 to $124,999",employed,78 to 87,white,"Completed some college, but no degree",25
Female,"$100,000 to $124,999",employed,78 to 87,white,Doctorate degree,9
Female,"$100,000 to $124,999",employed,78 to 87,white,High school graduate,20
Female,"$100,000 to $124,999",employed,78 to 87,white,Masters degree,31
Female,"$100,000 to $124,999",employed,78 to 87,white,Other post high school vocational training,1
Female,"$100,000 to $124,999",employed,88+,white,Associate Degree,2
Female,"$100,000 to $124,999",employed,88+,white,"College Degree (such as B.A., B.S.)",1
Female,"$100,000 to $124,999",employed,88+,white,"Completed some college, but no degree",3
Female,"$100,000 to $124,999",employed,88+,white,High school graduate,4
Female,"$100,000 to $124,999",employed,88+,white,Masters degree,4
Female,"$100,000 to $124,999",unemployed,28 to 37,black/african american/negro,"Completed some college, but no degree",1
Female,"$100,000 to $124,999",unemployed,28 to 37,black/african american/negro,Doctorate degree,1
Female,"$100,000 to $124,999",unemployed,28 to 37,black/african american/negro,High school graduate,1
Female,"$100,000 to $124,999",unemployed,28 to 37,other asian or pacific islander,"College Degree (such as B.A., B.S.)",2
